"Timestamp","Name (Optional)","Gender","Age","Q1. Which of the platforms below do you use in listening music?","Q2. Which of the following genre below you love to listen most?","Q3. Which of the following genres do you dislike?","Q4. Which do you prefer the most?","Q5. Does listening to your preferred music genre help you concentrate when studying as a student?","Q6. We feel emotionally, physically, and cognitively tired during this pandemic, and we are sometimes unable to functions in the context of many elements of life. Do you believe that listening to different types of music genres helps us to cope with our emotions?","Q7.  Does music can have a positive influence?","Q8.  Does music can have a negative influence?"
"2021/09/07 10:10:14 pm GMT+8","KRAZZY","Male","20 and below","None of the above","K-pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","5"
"2021/09/07 10:15:22 pm GMT+8","","Female","21 and above","Spotify","Rhythm & blues (R&B)","Metal","New Music (2000 to 2021)","No","Yes","5","2"
"2021/09/07 10:20:38 pm GMT+8","","Male","21 and above","Youtube Music","K-pop","Metal","New Music (2000 to 2021)","Yes","Yes","4","4"
"2021/09/07 10:23:41 pm GMT+8","Ji","Female","20 and below","Spotify","Pop","Metal","New Music (2000 to 2021)","Yes","Yes","5","3"
"2021/09/07 10:25:07 pm GMT+8","gio","Prefer not to say","20 and below","Spotify","Rhythm & blues (R&B)","Country","Old Music (70's, 80's, 90's)","Yes","Maybe","3","3"
"2021/09/08 10:50:40 am GMT+8","ILLUSTRISIMO","Male","20 and below","Youtube Music","Rock","Jazz","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/08 11:08:55 am GMT+8","Patricia Diso","Female","20 and below","Youtube Music","Rhythm & blues (R&B)","Metal","New Music (2000 to 2021)","Yes","Yes","4","4"
"2021/09/08 11:13:57 am GMT+8","Francisco Calderon ","Male","20 and below","Youtube Music","Oldies","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","5","1"
"2021/09/08 11:14:44 am GMT+8","Christian","Male","20 and below","Spotify","Classical","K-pop","New Music (2000 to 2021)","Yes","Maybe","5","2"
"2021/09/08 11:24:15 am GMT+8","Reign Kervie","Male","21 and above","Spotify","Pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/08 11:44:19 am GMT+8","Zilver","Male","20 and below","Spotify","Rhythm & blues (R&B)","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","5","5"
"2021/09/08 11:46:23 am GMT+8","","Female","20 and below","Spotify","Oldies","Indie rock","Old Music (70's, 80's, 90's)","No","Yes","5","3"
"2021/09/08 11:51:55 am GMT+8","Gandara","Female","20 and below","Youtube Music","Rhythm & blues (R&B)","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","5","2"
"2021/09/08 11:54:31 am GMT+8","","Female","20 and below","Spotify","Pop","Indie rock","New Music (2000 to 2021)","Yes","Yes","4","1"
"2021/09/08 12:12:07 pm GMT+8","John Meg Parada","Male","21 and above","Spotify","Indie rock","Jazz","New Music (2000 to 2021)","Yes","Yes","4","1"
"2021/09/08 12:20:23 pm GMT+8","JM Parada","Male","20 and below","Youtube Music","Hip-hop","Jazz","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/08 12:20:54 pm GMT+8","Encabo ","Male","20 and below","Spotify","Rock","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","5","3"
"2021/09/08 12:28:49 pm GMT+8","Bhap","Prefer not to say","21 and above","Youtube Music","Rhythm & blues (R&B)","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","4","3"
"2021/09/08 12:33:01 pm GMT+8","Jane","Female","21 and above","Spotify","Rhythm & blues (R&B)","Classical","New Music (2000 to 2021)","Yes","Yes","5","3"
"2021/09/08 12:51:23 pm GMT+8","Sy","Male","20 and below","Youtube Music","Hip-hop","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","4","1"
"2021/09/08 1:05:39 pm GMT+8","","Male","20 and below","Spotify","Rhythm & blues (R&B)","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","5","3"
"2021/09/08 1:24:53 pm GMT+8","","Male","20 and below","Youtube Music","Pop","K-pop","New Music (2000 to 2021)","Yes","Yes","5","5"
"2021/09/08 5:46:14 pm GMT+8","Mary Ann","Female","20 and below","Spotify","Pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/08 6:35:21 pm GMT+8","","Female","21 and above","Spotify","Pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","3"
"2021/09/08 9:10:02 pm GMT+8","","Male","21 and above","Spotify","Rock","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","4","3"
"2021/09/08 9:12:03 pm GMT+8","Bien","Male","21 and above","Spotify","Rhythm & blues (R&B)","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","4","3"
